"filename", "language", "JavaScript", "source.markdown.math", "XML", "HTML", "PostCSS", "comment", "blank", "total"
"d:\TinySwordJS\src\main\js\mainEditor.js", "JavaScript", 5, 0, 0, 0, 0, 1, 1, 7
"d:\TinySwordJS\src\main\js\objects.js", "JavaScript", 20, 0, 0, 0, 0, 0, 7, 27
"d:\TinySwordJS\src\main\js\options.js", "JavaScript", 120, 0, 0, 0, 0, 19, 28, 167
"d:\TinySwordJS\src\main\js\tiles.js", "JavaScript", 20, 0, 0, 0, 0, 0, 7, 27
"d:\TinySwordJS\src\main\js\utils.js", "JavaScript", 19, 0, 0, 0, 0, 0, 6, 25
"d:\TinySwordJS\src\main\js\zoom.js", "JavaScript", 30, 0, 0, 0, 0, 1, 11, 42
"d:\TinySwordJS\src\main\level_selector.html", "HTML", 0, 0, 0, 414, 0, 9, 53, 476
"d:\TinySwordJS\src\objects\Bomb.js", "JavaScript", 189, 0, 0, 0, 0, 2, 35, 226
"d:\TinySwordJS\src\objects\Box.js", "JavaScript", 161, 0, 0, 0, 0, 2, 30, 193
"d:\TinySwordJS\src\objects\Door.js", "JavaScript", 133, 0, 0, 0, 0, 4, 36, 173
"d:\TinySwordJS\src\objects\Object.js", "JavaScript", 30, 0, 0, 0, 0, 0, 8, 38
"d:\TinySwordJS\src\res\GitHub.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"d:\TinySwordJS\src\res\disabled.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 7
"d:\TinySwordJS\src\res\hand_point.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 7
"d:\TinySwordJS\src\res\hand_small_closed.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 7
"d:\TinySwordJS\src\res\hand_small_open.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 7
"d:\TinySwordJS\src\res\hand_small_point.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 7
"d:\TinySwordJS\src\res\hand_small_point_n.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 7
"d:\TinySwordJS\src\res\pointer_a.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 7
"d:\TinySwordJS\src\utilities\Constants.js", "JavaScript", 403, 0, 0, 0, 0, 0, 33, 436
"d:\TinySwordJS\src\utilities\HelperMethods.js", "JavaScript", 89, 0, 0, 0, 0, 1, 25, 115
"d:\TinySwordJS\src\utilities\LoadSave.js", "JavaScript", 183, 0, 0, 0, 0, 0, 33, 216
"Total", "-", 5028, 120, 50, 885, 1225, 281, 1470, 9059
